Timestamp,Name,Value
16.700579,"NT:/SmartDashboard/Arm Angle",1.8706895708265394
16.700598,"NT:/SmartDashboard/Arm Rate",4.180638517096522
16.720182,"NT:/SmartDashboard/Arm Angle",1.9588934661299637
16.720256,"NT:/SmartDashboard/Arm Rate",4.4764887659900525
16.740167,"NT:/SmartDashboard/Arm Angle",2.047097361433388
16.74024,"NT:/SmartDashboard/Arm Rate",4.16559616533779
16.760109,"NT:/SmartDashboard/Arm Angle",2.132233295161041
16.760181,"NT:/SmartDashboard/Arm Rate",4.2098958158096496
16.780173,"NT:/SmartDashboard/Arm Angle",2.2150682577068657
16.780245,"NT:/SmartDashboard/Arm Rate",4.460218907859683
16.800554,"NT:/SmartDashboard/Arm Angle",2.300204191434519
16.80063,"NT:/SmartDashboard/Arm Angle",2.3009711818284617
16.800661,"NT:/SmartDashboard/Arm Rate",4.284862535993412
16.820629,"NT:/SmartDashboard/Arm Angle",2.3830391539803437
16.820688,"NT:/SmartDashboard/Arm Angle",2.383806144374286
16.820708,"NT:/SmartDashboard/Arm Rate",4.165878981290356
16.840039,"NT:/SmartDashboard/Arm Angle",2.4643401357382824
16.84011,"NT:/SmartDashboard/Arm Rate",4.209606992002309
16.859799,"NT:/SmartDashboard/Arm Angle",2.5456411174962215
16.85987,"NT:/SmartDashboard/Arm Rate",4.2098958158096496
16.879885,"NT:/SmartDashboard/Arm Angle",2.6307770512238746
16.879945,"NT:/SmartDashboard/Arm Angle",2.6315440416178175
16.879967,"NT:/SmartDashboard/Arm Rate",4.3470939791304035
16.900597,"NT:/SmartDashboard/Arm Angle",2.718980946527299
16.90067,"NT:/SmartDashboard/Arm Rate",4.137507182429242
16.924616,"NT:/SmartDashboard/Arm Angle",2.82252464970958
16.924687,"NT:/SmartDashboard/Arm Angle",2.8232916401035224
16.924709,"NT:/SmartDashboard/Arm Rate",4.723574404574722
16.945431,"NT:/SmartDashboard/Arm Angle",2.9168644681645466
16.945533,"NT:/SmartDashboard/Arm Rate",4.999122658907092
16.964502,"NT:/SmartDashboard/Arm Angle",3.0066023442558567
16.964585,"NT:/SmartDashboard/Arm Rate",4.579047128016839
16.980158,"NT:/SmartDashboard/Arm Angle",3.08636934522591
16.980231,"NT:/SmartDashboard/Arm Rate",5.796262187363087
17.000417,"NT:/SmartDashboard/Arm Angle",3.192981009983962
17.00049,"NT:/SmartDashboard/Arm Rate",5.52835674524062
17.020322,"NT:/SmartDashboard/Arm Angle",3.304194617105671
17.020379,"NT:/SmartDashboard/Arm Angle",3.3049616074996138
17.0204,"NT:/SmartDashboard/Arm Rate",4.79931415842203
17.040554,"NT:/SmartDashboard/Arm Angle",3.42077715698498
